yahoo,silver
Connecticut(1),Connecticut
N. Carolina(1),North Carolina
Houston(1),Houston
Purdue(1),Purdue
Iowa St.(2),Iowa State
Arizona(2),Arizona
Kentucky(3),Kentucky
Tennessee(2),Tennessee
Marquette(2),Marquette
Illinois(3),Illinois
Baylor(3),Baylor
Auburn(4),Auburn
Creighton(3),Creighton
Duke(4),Duke
Alabama(4),Alabama
Kansas(4),Kansas
Texas(7),Texas
Gonzaga(5),Gonzaga
SDSU(5),San Diego State
Florida(7),Florida
BYU(6),Brigham Young
St. Mary's(5),Saint Mary's
Wisconsin(5),Wisconsin
Michigan St.(9),Michigan State
Florida Atlantic(8),Florida Atlantic
Clemson(6),Clemson
Texas Tech(6),Texas Tech
TCU(9),TCU
South Carolina(6),South Carolina
Drake(10),Drake
Nevada(10),Nevada
Nebraska(8),Nebraska
Washington St.(7),Washington State
Texas A&M(9),Texas A&M
Dayton(7),Dayton
Oregon(11),Oregon
Utah St.(8),Utah State
Northwestern(9),Northwestern
N.C. State(11),North Carolina State
New Mexico(11),New Mexico
Mississippi St.(8),Mississippi State
James Madison(12),James Madison
Grand Canyon(12),Grand Canyon
Duquesne(11),Duquesne
BSU/COLO(10),Colorado
UAB(12),UAB
McNeese(12),McNeese State
UVA/CSU(10),Virginia
Samford(13),Samford
Charleston(13),Charleston
Yale(13),Yale
Vermont(13),Vermont
Akron(14),Akron
Morehead St.(14),Morehead State
Colgate(14),Colgate
W. Kentucky(15),Western Kentucky
St. Peter's(15),St. Peter's
Oakland(14),Oakland
S. Dakota St.(15),South Dakota State
Long Beach St.(15),Long Beach State
Longwood(16),Longwood
MTST/GRAM(16),Grambling State
Stetson(16),Stetson
HOW/WAG(16),Howard
HOW/WAG(16),Wagner
UVA/CSU(10),Colorado State
BSU/COLO(10),Boise State
MTST/GRAM(16),Montana State
